modelname,1,2,4,8,15,25
Boltzmann,0.289,0.245,0.194,0.143,0.102,0.075
Epsilon,0.289,0.246,0.196,0.147,0.107,0.079
POMDP1,0.289,0.245,0.202,0.171,0.155,0.155
POMDP2,0.289,0.244,0.195,0.162,0.135,0.131
UCB,0.289,0.243,0.182,0.141,0.11,0.108
