modelname,1,2,4,8,15,25
Boltzmann,0.2793,0.3098,0.3080,0.3019,0.3096,0.3091
Epsilon,0.2793,0.3141,0.3131,0.3121,0.3153,0.3111
POMDP1,0.2793,0.3146,0.3152,0.3186,0.3125,0.3175
POMDP2,0.2793,0.3097,0.3134,0.3159,0.3122,0.3116
UCB,0.2793,0.3050,0.3086,0.3095,0.3103,0.3066
