modelname,1,2,4,8,15,25
Boltzmann,0.192,0.207,0.243,0.276,0.308,0.328
Epsilon,0.192,0.209,0.249,0.286,0.317,0.335
POMDP1,0.192,0.210,0.249,0.282,0.289,0.305
POMDP2,0.192,0.206,0.251,0.275,0.295,0.311
UCB,0.192,0.205,0.271,0.315,0.336,0.352
